goos: darwin
goarch: arm64
pkg: rueidis-benchmark
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       161.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       165.7 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       161.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(256)-10        	  100000	       162.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(1024)-10       	  100000	       161.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(1024)-10       	  100000	       163.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(1024)-10       	  100000	       162.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(1024)-10       	  100000	       162.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(1024)-10       	  100000	       163.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(1024)-10       	  100000	       159.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(1024)-10       	  100000	       160.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(1024)-10       	  100000	       161.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(1024)-10       	  100000	       166.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(8)-key(16)-val(1024)-10       	  100000	       162.1 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       170.0 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       168.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       168.7 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       169.2 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       162.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       168.2 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       169.4 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       168.3 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       168.6 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(64)-10        	  100000	       168.2 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       166.0 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       166.7 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       167.4 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       171.1 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       165.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       170.9 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       165.5 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       165.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       167.7 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(256)-10       	  100000	       167.8 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(1024)-10      	  100000	       164.0 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(1024)-10      	  100000	       166.4 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(1024)-10      	  100000	       167.5 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(1024)-10      	  100000	       167.9 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(1024)-10      	  100000	       163.3 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(1024)-10      	  100000	       171.6 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(1024)-10      	  100000	       167.6 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(1024)-10      	  100000	       169.2 ns/op	       1 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(1024)-10      	  100000	       163.9 ns/op	       0 B/op	       0 allocs/op
Benchmark/Cluster/Get-parall(64)-key(16)-val(1024)-10      	  100000	       167.0 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	rueidis-benchmark	3.467s
